FixedFormatFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"怪物ID，（定义规则：NXXXYYZZZ；  N为大类，1测试；2地图怪物，3副本怪物，4NPC，5功能型；XXX为所在地图ID；  YY为子类型，N=2,3时，00为小怪，02为首领；N=4时，应为00；N=5时，01表示传送；   ZZZ为编号）",怪物名（可不填，仅为方便脚本配置人员了解是哪个怪物）,怪物模型资源名字，字符串，用于显示,模型厚度比例x,模型身高比例y,模型宽度比例z,模型颜色红色,模型颜色绿色,模型颜色蓝色,模型透明度,怪物头像图片资源名字，字符串,调色板ID（造型相同的怪物颜色不同）,AI信息的ID,"类型, 10：一般怪物，11：不可被攻击的怪物",怪物的种族,怪物的派别,不填为小怪；2为头领；3为稀有；4为护卫；5为BOSS；6为BBOSS头领；7为囚笼；,是否被过滤,怪物的等级,阵营（0：全门派友善； 123：对应门派ID，与本门派友善，与其它门派敌对； 11；全门派敌对）， 注：玩家和玩家召唤的宠物的静态阵营ID都是其所属门派ID,能否被选中，0：表示可以被选中，1：表示不能被选中,为1表示可以对话,怪物的视野，单位：米,为1表示不接受事件,怪物被杀死后，玩家获得的金钱，绑定,怪物可被攻击的半径，用于建筑等体积巨大的物件,怪物占位的半径：单位：分米,为1表示生物无占位,相对回归半径,绝对回归半径,时间回归，单位：毫秒,为1表示回归时不回血,基本移动速度，单位：x毫秒/米,基础攻击速度，单位：x毫秒/次,怪物的奖励归属类型，1：最后的攻击者拥有奖励，2：第一个攻击者拥有奖励，3：持续攻击者拥有奖励，4：指定奖励拥有者，5：最后的玩家攻击者拥有奖励（宠物、召唤兽等杀死不算），6：按伤害比例进行计算怪物归属，7：队伍分配时随机选择队员获得奖励,怪物掉落ID的集合，形如：ID1+ID2+ID3,技能索引集合，形如：Index1+Index2+Index3,对应技能使用概率的集合，千分比，形如：Prob1+Prob2+Prob3,怪物属性，配合技能使用,怪物出生动画光效,功能集(1、任务 2、传送 3、任务 8、商店 10、寄售 20、法宝炼制 40、法宝经验 80、法宝替换 100、排行版 200、激活码信息),每个功能对应的功能ID,怪物势力,性别(1男，2女),AI跟踪,怪物称号,头顶图片,骑乘动画（坐骑专用）,移动动画（坐骑专用）,休闲动画（坐骑专用）,属性计算公式类型ID，10000001是幻兽公式,对应采集物ID,魂数量，搜魂灯使用,特殊死亡动画机率(1000分制),特殊死亡动画,荣誉点,是否不消耗亲朋金币(1表示不消耗，0表示消耗亲朋币),击杀率下限(1-1000),击杀率上限(1-1000),免伤率
304000059,彻地妖兽,BOSS_10_CSJS.eqs,300,300,300,,,,,,,326,10,,,5,,156,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,天道,,,天道,,,,,853,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000060,亡魂公主,MST_14_XY_01.eqs,300,300,300,,,,,,,326,10,,,5,,158,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,天道,,,天道,,,,,853,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000061,精英猩红狐妖,jiuweihuyao.eqs,200,200,200,,,,,,,326,10,,,5,,90,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000062,精英龙虾妖将,BOSS_23_LXJJ.eqs,200,200,200,,,,,,,326,10,,,5,,93,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000063,精英黄金傀儡,bahuangjijia.eqs,200,200,200,,,,,,,326,10,,,5,,96,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000064,精英撼地巨蟹,BOSS_24_JXS_02.eqs,200,200,200,,,,,,,326,10,,,5,,99,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000065,精英九头螭龙,jiutouchulong.eqs,200,200,200,,,,,,,326,10,,,5,,102,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000066,精英月族之眼,MST_13_XM_03.eqs,300,300,300,,,,,,,326,10,,,5,,105,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000067,精英银鬃妖猿,BOSS_11_STR.eqs,200,200,200,,,,,,,326,10,,,5,,108,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000068,精英熔火妖兽,yanyanmoshou.eqs,250,250,250,,,,,,,326,10,,,5,,111,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000069,精英独眼异人,lianyumozun.eqs,250,250,250,,,,,,,326,10,,,5,,114,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000070,精英幽光麒麟,bishuiqilin.eqs,250,250,250,,,,,,,326,10,,,5,,117,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,畜生道·真,,,畜生道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000071,精英吞噬魔,boss_qiongqi.eqs,200,200,200,,,,,,,326,10,,,5,,120,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000072,精英收魂魔,boss_suohun.eqs,200,200,200,,,,,,,326,10,,,5,,123,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000073,精英辉光魔,boss_tianzhishaozhu.eqs,200,200,200,,,,,,,326,10,,,5,,126,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000074,精英梦魇魔,boss_yeyumozun.eqs,300,300,300,,,,,,,326,10,,,5,,129,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000075,精英炼魂魔,boss_yinguo.eqs,300,300,300,,,,,,,326,10,,,5,,132,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000076,精英锁魂魔,boss_zuiezhijian.eqs,300,300,300,,,,,,,326,10,,,5,,135,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000077,精英削首魔,chiyouzhanhun.eqs,300,300,300,,,,,,,326,10,,,5,,138,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000078,精英堕落红龙,BOSS_21_SSL_red.eqs,160,160,160,,,,,,,326,10,,,5,,141,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000079,精英亡灵骑士,shenyuanjinwei.eqs,300,300,300,,,,,,,326,10,,,5,,144,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000080,精英摧毁者,lianyumojiang.eqs,300,300,300,,,,,,,326,10,,,5,,147,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,修罗道·真,,,修罗道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000081,精英魔光猿灵,MST_05_SMYH_02.eqs,300,300,300,,,,,,,326,10,,,5,,150,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000082,精英死灵食腐狮,MST_15_BW_01.eqs,300,300,300,,,,,,,326,10,,,5,,153,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000083,精英亡灵吞魂狮,MST_15_BW_02.eqs,300,300,300,,,,,,,326,10,,,5,,156,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000084,精英须弥之主,MST_05_SMYH_03.eqs,300,300,300,,,,,,,326,10,,,5,,159,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000085,精英地狱守卫蜥,MST_01_BJLY_02.eqs,300,300,300,,,,,,,326,10,,,5,,162,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000086,精英赤炎吞毒蜥,MST_01_BJLY_03.eqs,300,300,300,,,,,,,326,10,,,5,,165,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000087,精英上古狐精,MST_08_MH_02.eqs,300,300,300,,,,,,,326,10,,,5,,168,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000088,精英亡灵寄生魔,MST_02_BJSTM_02.eqs,300,300,300,,,,,,,326,10,,,5,,171,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000089,精英死灵抽魂使,MST_19_FCKL_01.eqs,300,300,300,,,,,,,326,10,,,5,,174,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000090,精英上古狐王,MST_08_MH_03.eqs,300,300,300,,,,,,,326,10,,,5,,177,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,饿鬼道·真,,,饿鬼道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000091,精英轮回鹿灵,MST_04_HD_02.eqs,300,300,300,,,,,,,326,10,,,5,,180,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,人间道·真,,,人间道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000092,精英轮回鹿魂,MST_04_HD_03.eqs,300,300,300,,,,,,,326,10,,,5,,183,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,人间道·真,,,人间道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000093,精英窃魔猿灵,MST_05_SMYH_01.eqs,300,300,300,,,,,,,326,10,,,5,,186,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,人间道·真,,,人间道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000094,精英怨灵之主,MST_14_XY_03.eqs,300,300,300,,,,,,,326,10,,,5,,189,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,人间道·真,,,人间道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000095,精英深渊长尾蜥,MST_01_BJLY_01.eqs,300,300,300,,,,,,,326,10,,,5,,192,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,人间道·真,,,人间道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000096,精英堕落地仙,MST_10_BHXW_02.eqs,300,300,300,,,,,,,326,10,,,5,,195,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,人间道·真,,,人间道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000097,精英暗夜穿行者,MST_06_JJTW_02.eqs,300,300,300,,,,,,,326,10,,,5,,198,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,人间道·真,,,人间道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000098,精英暗夜穿云者,MST_06_JJTW_03.eqs,300,300,300,,,,,,,326,10,,,5,,199,11,,,20,,,,5,,30,30,,,200,500,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,人间道·真,,,人间道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
304000099,精英地仙之王,MST_10_BHXW_03.eqs,300,300,300,,,,,,,326,10,,,5,,200,11,,,20,,,,5,,30,30,,,200,500,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,人间道·真,,,人间道·真,,,,,903,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304010001,参赛弟子,MST_57_SSJX_01.eqs,150,150,150,,,,,,,326,10,,,1,,72,8,,,8,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,门派大选,,,,,866,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010002,精英弟子,MST_57_SSJX_02.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,门派大选,,,,,867,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010003,汪大嘴,MST_50_TB_02.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,憨厚的师兄,,,,,867,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010004,司徒奋,MST_10_BHXW_02.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,执着的老修士,,,,,867,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010005,史铁牛,MST_57_SSJX_02.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,勤奋的师弟,,,,,867,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010006,贾小乐,MST_40_LZWW_03.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,贪吃的小胖,,,,,867,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010007,穆正岩,MST_59_HJFW_01.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,沉稳的师兄,,,,,867,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010008,陆语诗,MST_42_BLHJ_02.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,孤高的师姐,,,,,867,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010009,白芷萱,MST_89_XN_01.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,狠辣的师姐,,,,,867,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010010,季晓琴,MST_45_KZJ_02.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,刁钻的师妹,,,,,867,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010011,钟璃雪,MST_45_KZJ_03.eqs,150,150,150,,,,,,,326,10,,,2,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,聪慧的师妹,,,,,868,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010012,柳如烟,MST_42_BLHJ_02.eqs,150,150,150,,,,,,,326,10,,,4,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,门派之花,,,,,869,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010013,朱万德,MST_58_KLZL_01.eqs,150,150,150,,,,,,,326,10,,,4,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,卑鄙的老修士,,,,,870,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010014,徐鸿信,MST_54_SGDS_01.eqs,150,150,150,,,,,,,326,10,,,4,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,阴险的师兄,,,,,871,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010015,长孙浩浩,yinwanchou.eqs,150,150,150,,,,,,,326,10,,,5,,72,11,,,60,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,二长老之子,,,,,872,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010016,参赛弟子,MST_57_SSJX_01.eqs,150,150,150,,,,,,,326,10,,,1,,72,9,,,8,,,,5,,50,55,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,门派大选,,,门派大选,,,,,866,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251405001,宝鉴灵兽,bishuiqilin.eqs,160,160,160,,,,,,,312,10,,,1,,3,11,,,16,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,,,,,,,,,200,,,,,20,,,,5
251405002,仙灵兽,yanyanmoshou.eqs,180,180,180,,,,,,,311,10,,,1,,5,11,,,16,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,,,,,,,,,200,,,,,20,,,,5
211300001,仙灵,MST_15_BW_02.eqs,90,90,90,,,,,,,3113,10,,,1,,7,11,,,16,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,4,8,5
211300002,仙之舞姬,MST_45_KZJ_03.eqs,100,100,100,,,,,,,3114,10,,,1,,8,11,,,16,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,6,12,5
211300003,窃灵贼,MST_82_JZZJ_02.eqs,100,100,100,,,,,,,3115,10,,,1,,8,11,,,25,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,,,,,,,,,100,,,,TY_oth_baozha_2_siwang,20,,10,20,5
211300004,修真小妖,MST_60_CYTZ_03.eqs,110,110,110,,,,,,,3116,10,,,1,,11,11,,,25,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,,,,,,,,,100,,,,TY_oth_baozha_2_siwang,20,,8,16,5
211305001,灵龟,BOSS_22_GCX.eqs,180,180,180,,,,,,,313,10,,,1,,10,11,,,10,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,,,,,,,,,200,,,,TY_oth_baozha_2_siwang,20,,,,5
211305002,灵岛地仙,MST_10_BHXW_01.eqs,200,200,200,,,,,,,313,10,,,1,,12,11,,,10,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,,,,,,,,,200,,,,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200400001,食人花,MST_88_SRH_01.eqs,80,80,80,,,,,,,3113,10,,,1,,13,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,4,10,5
200400002,剧毒盲蜂,MST_77_FY_01.eqs,110,110,110,,,,,,,3114,10,,,1,,14,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,6,15,5
200400003,幼狐,MST_08_MH_01.eqs,110,110,110,,,,,,,3115,10,,,1,,14,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,10,25,5
200400004,野狼,MST_12_YL_01.eqs,110,110,110,,,,,,,3116,10,,,1,,15,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,8,20,5
200400005,灵溪狐,MST_08_MH_01.eqs,150,150,150,,,,,,,3117,10,,,1,,15,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,12,30,5
200400006,变异短尾鹿,MST_04_HD_01.eqs,90,90,90,,,,,,,3116,10,,,1,,16,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,8,20,5
200400007,恐怖食人花,MST_88_SRH_02.eqs,80,80,80,,,,,,,3115,10,,,1,,16,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,10,25,5
200400008,平原妖狐,MST_08_MH_02.eqs,130,130,130,,,,,,,3114,10,,,1,,17,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,6,15,5
200400009,平原精灵,MST_39_RSG_01.eqs,130,130,130,,,,,,,3113,10,,,1,,17,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,4,10,5
200400010,木灵,MST_68_TSJ_01.eqs,80,80,80,,,,,,,3115,10,,,1,,18,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,10,25,5
200400011,聚阴妖灵,MST_40_LZWW_01.eqs,200,200,200,,,,,,,3116,10,,,1,,20,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,8,20,5
200400012,清修士,MST_24_XLTM_01.eqs,120,120,120,,,,,,,3117,10,,,1,,20,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,12,30,5
200400013,聚灵散修,MST_59_HJFW_01.eqs,120,120,120,,,,,,,3115,10,,,1,,21,11,,,13,,,,5,,10,10,,,500,2000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,10,25,5
200400014,诡异大修士,MST_57_SSJX_02.eqs,120,120,120,,,,,,,3114,10,,,1,,21,11,,,13,,,,5,,10,10,,,500,2000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,6,15,5
200400015,女修士,MST_33_BLJS_01.eqs,100,100,100,,,,,,,3115,10,,,1,,22,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,10,25,5
200400016,魔修,MST_45_KZJ_02.eqs,120,120,120,,,,,,,3116,10,,,1,,22,11,,,13,,,,5,,10,10,,,500,2000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,8,20,5
200400017,堕落女修,MST_22_TJXL_01.eqs,130,130,130,,,,,,,3117,10,,,1,,23,11,,,13,,,,5,,10,10,,,500,2000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,12,30,5
200400018,拜月异人,MST_23_YYXL_01.eqs,100,100,100,,,,,,,3117,10,,,1,,23,11,,,13,,,,5,,10,10,,,500,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,坠仙平原,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,12,30,5
